PartCondition,AircraftTotalTime
CRACKED,86171.0
CORRODED,13504.0
CRACKED,35099.0
CRACKED,35099.0
CRACKED,35099.0
CRACKED,35099.0
CRACKED,38756.0
CRACKED,38756.0
CRACKED,38756.0
CORRODED,33824.0
CORRODED,33824.0
CRACKED,33824.0
CRACKED,33824.0
CRACKED,58494.0
CORRODED,119892.0
CRACKED,21659.0
CRACKED,64112.0
CRACKED,21659.0
CRACKED,21659.0
CORRODED,12929.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CRACKED,38756.0
CRACKED,38756.0
CRACKED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CRACKED,63135.0
CORRODED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CRACKED,19870.0
CRACKED,19870.0
CORRODED,19870.0
CORRODED,19870.0
CRACKED,49372.0
CRACKED,67684.0
CRACKED,33975.0
CRACKED,35099.0
CORRODED,92170.0
CRACKED,107208.0
CRACKED,80595.0
CORRODED,76090.0
CORRODED,76090.0
CRACKED,22818.0
CORRODED,17555.0
CORRODED,17555.0
CRACKED,28501.0
CRACKED,60253.0
CRACKED,60253.0
CRACKED,23667.0
CRACKED,18066.0
CRACKED,11741.0
CRACKED,38756.0
CORRODED,66717.0
CORRODED,66717.0
CORRODED,45154.0
CORRODED,76493.0
CORRODED,76493.0
CORRODED,119892.0
CORRODED,75800.0
CORRODED,75800.0
CRACKED,75800.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CRACKED,64871.0
CORRODED,55844.0
CORRODED,55844.0
CRACKED,55587.0
CRACKED,44292.0
CRACKED,26469.0
CRACKED,15293.0
CRACKED,19458.0
CRACKED,59441.0
CRACKED,80410.0
CORRODED,35099.0
CRACKED,100940.0
CORRODED,75800.0
CORRODED,119892.0
CORRODED,119892.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,56748.0
CRACKED,44293.0
CRACKED,18450.0
CORRODED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,74346.0
CRACKED,38608.0
CRACKED,68215.0
CRACKED,58562.0
CRACKED,68215.0
CORRODED,41171.0
CORRODED,42171.0
CORRODED,119892.0
CORRODED,45154.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CRACKED,64162.0
CORRODED,63764.0
CRACKED,337.0
CRACKED,76090.0
CRACKED,76090.0
CORRODED,76090.0
CORRODED,76090.0
CORRODED,76090.0
CORRODED,76090.0
CORRODED,76090.0
CORRODED,35303.0
CRACKED,84863.0
CRACKED,28751.0
CRACKED,74346.0
CRACKED,50919.0
CRACKED,40381.0
CORRODED,2485.0
CORRODED,56169.0
CRACKED,53376.0
CRACKED,56120.0
CRACKED,41197.0
CRACKED,41197.0
CRACKED,41197.0
CRACKED,41197.0
CRACKED,4821.0
CRACKED,90291.0
CORRODED,17244.0
CORRODED,41197.0
CORRODED,41197.0
CRACKED,6158.0
CORRODED,76090.0
CORRODED,59664.0
CRACKED,38608.0
CRACKED,25664.0
CRACKED,6930.0
CRACKED,4570.0
CRACKED,3339.0
CRACKED,7333.0
CRACKED,83294.0
CORRODED,18585.0
CRACKED,66942.0
CORRODED,11768.0
CRACKED,3706.0
CRACKED,64393.0
CRACKED,64393.0
CRACKED,64393.0
CRACKED,18926.0
CRACKED,8819.0
CORRODED,41197.0
CRACKED,46342.0
CORRODED,76493.0
CRACKED,100088.0
CRACKED,53376.0
CRACKED,53376.0
CRACKED,53376.0
CRACKED,62109.0
CRACKED,83295.0
CRACKED,18307.0
CORRODED,40381.0
CRACKED,40841.0
CRACKED,91598.0
CRACKED,119464.0
CRACKED,25664.0
CRACKED,119464.0
CRACKED,25664.0
CRACKED,25604.0
CRACKED,71097.0
CRACKED,77852.0
CRACKED,83294.0
CRACKED,31779.0
CRACKED,41482.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,70767.0
CORRODED,77179.0
CORRODED,77179.0
